course_id,course_title,course_description,program_outcomes,level,semester
CPE509,Hardware Design Laboratory,"This course provides practical exposure to digital system design and hardware implementation. Students engage in mini-projects that apply theoretical concepts in computer hardware design, focusing on system construction, testing, and evaluation.",Execute digital system design; implement hardware mini-projects; demonstrate proficiency in systems hardware,500,1
CPE510,Natural Language Processing & Application,"This course introduces computational methods for processing human language. It covers deterministic and stochastic grammars, parsing techniques, corpus-based methods, and information retrieval systems. It also includes language translation, speech recognition, speech synthesis, and natural language interfaces. Special attention is given to modeling local languages and designing web-based speech and language systems.",Apply NLP parsing algorithms; model local languages; develop speech recognition/synthesis systems; design web-based interfaces,500,2
CPE511,Computer Based Real-Time Systems,"This course explores the principles and design of real-time computing systems, including soft and hard real-time systems. It covers system configuration, scheduling, memory management, and fault tolerance. The course also examines analogue computing systems, real-time process control, and challenges such as system failures, risks, and recovery strategies.",Design real-time/hard-real-time systems; implement analog computing concepts; manage task scheduling/resource requirements,500,2
CSC513,Principles & Applications of Data Mining,"This course introduces data mining concepts including classification, prediction, and pattern discovery. It covers decision trees, neural networks, regression analysis, memory-based reasoning, survival analysis, and link analysis. Emphasis is placed on data preprocessing, model training, and interpretation of analytical results.",Apply data mining methodologies; build/analyze neural networks; predict/profile data patterns; evaluate mining algorithms,500,1
CSC515,Computer Graphics,"This course focuses on the fundamentals of computer graphics, including graphical software systems, color models, and geometric transformations. It covers affine transformations, viewing transformations, clipping techniques, and graphical object manipulation. The course also introduces animation concepts in both 2D and 3D environments.",Develop graphics software; apply color models/transformations; implement clipping/viewing; produce 2D/3D animations,500,2
CSC515,Database Design and Management,"This course covers relational database theory and design, including functional dependencies, normal forms, and data integrity constraints. It explores conceptual data modeling using ER and UML diagrams, distributed databases, transaction processing, concurrency control, and client-server architectures. It also addresses distributed query processing and database security.",Model data using ER/UML; normalize databases; implement relational integrity; manage distributed transaction systems,500,2
CPE517,Digital Computer Networks,"This course introduces computer networking principles, including network architectures, topologies, and protocols. It covers LANs, WANs, OSI model, and IEEE standards. Additional topics include communication media, distributed systems, multimedia networks, and internet technologies such as ARPANET and DECNET.",Design network topologies; explain ISO/OSI models; select appropriate network media; analyze web-based network technologies,500,1
CSC520,Expert Systems,"This course explores artificial intelligence-based expert systems, including knowledge representation, reasoning, and inference mechanisms. It covers system architecture, knowledge acquisition, frames, logic systems, and uncertainty handling. Implementation using AI tools such as PROLOG and LISP is also included.",Build expert system shells; apply knowledge engineering techniques; implement diagnostic systems using PROLOG or LISP,500,2
CPE521,Modelling and Simulation,"This course focuses on simulation techniques and modeling methodologies used in system analysis. It includes simulation programming environments, experimental design, testing tools, and model validation. Students also learn simulation languages and system behavior modeling techniques.",Use simulation tools; design experimental models; manage system configurations; analyze simulation languages,500,2
CSC522,Information Storage and Retrieval,"This course covers techniques for storing, indexing, and retrieving information from large datasets. It includes text processing, indexing structures, relevance ranking, and information retrieval models. Topics also include digital libraries, metadata, search strategies, and user behavior analysis.",Implement information indexing; apply metadata standards; evaluate search/ranking algorithms; manage digital library systems,500,2
CSC523,Mathematical Programming,"This course introduces mathematical techniques used in optimization and problem-solving. It includes linear programming, simplex method, duality, integer programming, combinatorics, recurrence relations, and graph theory. It also covers computational methods for solving optimization problems.",Solve linear programming problems; apply combinatorial logic; perform algorithm complexity analysis using the Master Theorem,500,2
CSC525,Techniques in Data Analysis,"This course focuses on statistical methods and computational techniques for data analysis. It includes data collection, cleaning, descriptive statistics, regression analysis, and non-parametric tests. The course also involves practical implementation using statistical software such as SPSS and interpretation of analytical results.",Perform data cleaning; execute statistical tests; implement algorithms in statistical software; interpret analytical findings,500,2
